"","metabolites","adaptedDervLabel","File_Name_Neg","File_Name_Pos","rowID_full","rep_group","n","Site","Site_abv","group","Date","Time","sample_type","Sampling_Day","collection_depth_m","DNA_no","Before_mass_g","After_mass_g","vol_difference","vol_ml","SPE_label","Deriv_label","Deriv_mass_g","FCM_no","DOC_no","HOBO_temp_F","HOBO_lumens","Dry_shipper","Notes","Analyze_","matlabName","DateRun","filename","NPOC","TN","CINARSampleBox","AddedDetailFromNotesInsideSampleBox","Experiment","Sample_ID","Filtration_typeOrReef","TimeOrDay","TreatmentOrTimeCollected","IncubationOrTimeOfDay","Prochlorococcus","Synechococcus","Picoeukaryotes","Unpigmented_cells","date_time","concentration","LOD","LOQ","QuantFlag","LODflag","site_time","log2_concen"
"1","2'deoxycytidine","CINAR_BC_61","mtab_CINAR_BC_lumos_032822_37","mtab_CINAR_BC_lumos_032822_150","62","20",3,"Yawzi","YZ","coral",2021-01-24,06:26:00,"dawn","Day3",8.8,292,1963.9,332.7,1631.2,1.59,155,"Deriv_61",56.6,249,52,80.382,0,NA,NA,1,"CINAR_BC_61","01-Apr-2022","CINAR_52",78.2440719450774,8.64464061097252,1,"USVI 2021","Temporal",249,"Yawzi","01/24/2021",06:26:00,"dawn",26944,73953,1825,636000,2021-01-24 06:26:00,0.270108925508766,0.124174896,0.376287562,TRUE,FALSE,"Yawzi_dawn",0.344952228928652
"2","2'deoxycytidine","CINAR_BC_86","mtab_CINAR_BC_lumos_032822_58","mtab_CINAR_BC_lumos_032822_171","68","22",3,"Yawzi","YZ","coral",2021-01-25,06:29:00,"dawn","Day4",8.4,325,2141,332.3,1808.7,1.76,177,"Deriv_86",54.9,355,74,80.206,0,"cane5",NA,1,"CINAR_BC_86","01-Apr-2022","CINAR_74",77.8766735007373,8.5769528425623,1,"USVI 2021","Temporal",355,"Yawzi","01/25/2021",06:29:00,"dawn",25132,68070,1681,620000,2021-01-25 06:29:00,0.0705375494370725,0.124174896,0.376287562,TRUE,TRUE,"Yawzi_dawn",0.0983353995875841
"3","2'deoxycytidine","CINAR_BC_42","mtab_CINAR_BC_lumos_032822_62","mtab_CINAR_BC_lumos_032822_175","25","9",3,"Tektite","TK","coral",2021-01-23,13:04:00,"peak_photo","Day2",8.9,224,1956.5,331.5,1625,1.59,143,"Deriv_42",56,250,41,81.266,1280,NA,NA,1,"CINAR_BC_42","02-Apr-2022","CINAR_41",73.1906923846617,5.37226457916396,1,"USVI 2021","Temporal",250,"Tektite","01/23/2021",13:04:00,"peak_photo",18790,58590,1195,567000,2021-01-23 13:04:00,0.0705375494370725,0.124174896,0.376287562,TRUE,TRUE,"Tektite_peak_photo",0.0983353995875841
"4","2'deoxycytidine","CINAR_BC_102","mtab_CINAR_BC_lumos_032822_39","mtab_CINAR_BC_lumos_032822_152","72","24",3,"Yawzi","YZ","coral",2021-01-26,06:15:00,"dawn","Day5",8.3,327,1910.8,332.8,1578,1.54,189,"102",53.6,361,87,80.206,0,NA,NA,1,"CINAR_BC_102","01-Apr-2022","CINAR_87",94.1128585986919,11.5191145094604,1,"USVI 2021","Temporal",361,"Yawzi","01/26/2021",06:15:00,"dawn",30779,72128,1563,609000,2021-01-26 06:15:00,0.0705375494370725,0.124174896,0.376287562,TRUE,TRUE,"Yawzi_dawn",0.0983353995875841
"5","2'deoxycytidine","CINAR_BC_62","mtab_CINAR_BC_lumos_032822_94","mtab_CINAR_BC_lumos_032822_207","37","12",3,"Tektite","TK","coral",2021-01-24,06:02:00,"dawn","Day3",6.6,275,1937.9,332.5,1605.4,1.57,157,"Deriv_62",54.4,251,53,80.382,0,NA,NA,1,"CINAR_BC_62","01-Apr-2022","CINAR_53",87.1605495750247,7.86848753320185,1,"USVI 2021","Temporal",251,"Tektite","01/24/2021",06:02:00,"dawn",24607,62949,1129,540000,2021-01-24 06:02:00,0.0705375494370725,0.124174896,0.376287562,TRUE,TRUE,"Tektite_dawn",0.0983353995875841
"6","2'deoxycytidine","CINAR_BC_101","mtab_CINAR_BC_lumos_032822_85","mtab_CINAR_BC_lumos_032822_198","47","16",3,"Tektite","TK","coral",2021-01-26,05:54:00,"dawn","Day5",9.4,312,1980.4,352.3,1628.1,1.59,191,"Deriv_101",52.3,335,94,80.206,0,NA,NA,1,"CINAR_BC_101","31-Mar-2022","CINAR_94",84.6874853607484,6.58748006676917,1,"USVI 2021","Temporal",335,"Tektite","01/26/2021",05:54:00,"dawn",25040,45616,1142,462000,2021-01-26 05:54:00,0.0705375494370725,0.124174896,0.376287562,TRUE,TRUE,"Tektite_dawn",0.0983353995875841
"7","2'deoxycytidine","CINAR_BC_88","mtab_CINAR_BC_lumos_032822_112","mtab_CINAR_BC_lumos_032822_225","18","6",3,"LB_seagrass","SG","seagrass",2021-01-25,06:44:00,"dawn","Day4",3.8,328,1822.2,331.6,1490.6,1.45,170,"Deriv_87, Deriv_88, Deriv_89*",NA,343,77,79.853,1,"cane5",NA,1,"CINAR_BC_88","02-Apr-2022","CINAR_77",81.5321312780007,7.12324333077394,1,"USVI 2021","Temporal",343,"LB_seagrass","01/25/2021",06:44:00,"dawn",14024,65339,3467,716000,2021-01-25 06:44:00,0.214275781276519,0.124174896,0.376287562,TRUE,FALSE,"LB_seagrass_dawn",0.280096117718378
"8","2'deoxycytidine","CINAR_BC_49","mtab_CINAR_BC_lumos_032822_21","mtab_CINAR_BC_lumos_032822_134","2","1",3,"LB_seagrass","SG","seagrass",2021-01-23,13:56:00,"peak_photo","Day2",3.8,233,1947.8,332.2,1615.6,1.58,145,"Deriv_49",50.6,262,47,81.975,1088,NA,NA,1,"CINAR_BC_49","01-Apr-2022","CINAR_47",84.9702896183815,9.33956836665092,1,"USVI 2021","Temporal",262,"LB_seagrass","01/23/2021",13:56:00,"peak_photo",1996,16256,1339,378000,2021-01-23 13:56:00,0.248107395664084,0.124174896,0.376287562,TRUE,FALSE,"LB_seagrass_peak_photo",0.319742078852232
"9","2'deoxycytidine","CINAR_BC_60","mtab_CINAR_BC_lumos_032822_76","mtab_CINAR_BC_lumos_032822_189","36","12",3,"Tektite","TK","coral",2021-01-24,06:02:00,"dawn","Day3",6.6,278,1852.2,332.6,1519.6,1.48,152,"Deriv_58, Deriv_59*, Deriv_60",NA,254,55,80.382,0,NA,NA,1,"CINAR_BC_60","31-Mar-2022","CINAR_55",100.38406421761,10.0097665761848,1,"USVI 2021","Temporal",254,"Tektite","01/24/2021",06:02:00,"dawn",24226,59982,1129,525000,2021-01-24 06:02:00,0.0705375494370725,0.124174896,0.376287562,TRUE,TRUE,"Tektite_dawn",0.0983353995875841
"10","2'deoxycytidine","CINAR_BC_57","mtab_CINAR_BC_lumos_032822_65","mtab_CINAR_BC_lumos_032822_178","11","4",3,"LB_seagrass","SG","seagrass",2021-01-24,06:42:00,"dawn","Day3",3.4,272,1888.4,333.3,1555.1,1.52,153,"Deriv_57",53.2,242,56,80.206,0,NA,NA,1,"CINAR_BC_57","02-Apr-2022","CINAR_56",85.9567206040327,5.79552916288648,1,"USVI 2021","Temporal",242,"LB_seagrass","01/24/2021",06:42:00,"dawn",2377,18396,1602,303000,2021-01-24 06:42:00,0.139513782617638,0.124174896,0.376287562,TRUE,FALSE,"LB_seagrass_dawn",0.188418374356493
